X1,X2,X3,X4,X5,X6,X7,X8,Y
,294.54,0.0,0.0,40,Rain,proximity shower rain,2018-06-09 17:00:00,3589
,290.84,0.64,0.0,24,Mist,mist,2013-06-13 04:00:00,809
,276.68,0.0,0.0,40,Mist,mist,2017-01-19 16:00:00,6617
,265.35,0.0,0.0,1,Snow,light snow,2017-03-13 10:00:00,3911
,274.42,0.0,0.0,1,Clear,sky is clear,2017-02-12 12:00:00,4297
,263.52,0.0,0.0,90,Clouds,overcast clouds,2014-02-15 12:00:00,3892
,272.87,0.0,0.0,90,Drizzle,drizzle,2013-03-16 09:00:00,3570
,275.21,0.0,0.0,90,Mist,mist,2015-12-23 04:00:00,775
,284.14,0.0,0.0,1,Clear,sky is clear,2015-10-03 19:00:00,3973
,296.89,0.0,0.0,75,Clouds,broken clouds,2018-05-23 22:00:00,2028
,273.9,0.0,0.0,90,Clouds,overcast clouds,2014-02-20 14:00:00,4547
,290.36,0.0,0.0,0,Clear,Sky is Clear,2016-08-15 02:00:00,270
,289.02,0.0,0.0,92,Rain,moderate rain,2016-09-22 22:00:00,1155
,273.29,0.0,0.0,90,Snow,heavy snow,2013-04-19 10:00:00,3940
,295.02,0.0,0.0,48,Clouds,scattered clouds,2013-06-11 15:00:00,5969
,297.08,0.0,0.0,76,Clouds,broken clouds,2013-07-07 02:00:00,772
,271.08,0.0,0.0,90,Snow,light snow,2016-11-27 04:00:00,300
,291.49,0.25,0.0,75,Rain,moderate rain,2015-09-24 00:00:00,522
,280.14,0.0,0.0,40,Clouds,scattered clouds,2017-04-11 14:00:00,5136
,296.11,0.0,0.0,40,Clouds,scattered clouds,2013-07-03 10:00:00,4713
,273.48,0.0,0.0,90,Clouds,overcast clouds,2015-12-14 23:00:00,946
,295.22,0.0,0.0,90,Rain,light rain,2018-08-04 07:00:00,1817
,264.95,0.0,0.0,64,Clouds,broken clouds,2013-11-26 19:00:00,3294
,294.27,0.25,0.0,90,Rain,light rain,2018-09-04 02:00:00,254
,273.24,0.0,0.0,90,Mist,mist,2013-04-12 21:00:00,2866
,285.42,0.0,0.0,5,Clear,sky is clear,2017-10-20 07:00:00,5827
,266.07,0.0,0.0,64,Mist,mist,2013-12-01 06:00:00,780
,275.48,0.0,0.0,1,Clear,sky is clear,2017-11-08 18:00:00,4650
,273.15,0.0,0.0,90,Mist,mist,2018-03-26 05:00:00,2625
,270.44,0.0,0.0,90,Clouds,overcast clouds,2014-01-29 22:00:00,1527
,293.35,0.0,0.0,40,Clouds,scattered clouds,2015-10-06 17:00:00,6201
,295.01,0.0,0.0,40,Clouds,scattered clouds,2017-06-19 18:00:00,4274
,282.78,0.0,0.0,40,Rain,moderate rain,2017-05-23 03:00:00,357
,299.18,0.0,0.0,80,Clouds,broken clouds,2016-06-19 23:00:00,1279
,298.28,0.0,0.0,1,Clear,sky is clear,2017-06-14 13:00:00,4867
,274.99,0.0,0.0,1,Clear,sky is clear,2016-05-15 07:00:00,1391
,258.84,0.0,0.0,64,Clouds,broken clouds,2013-11-27 05:00:00,2591
,264.41,0.0,0.0,90,Haze,haze,2016-02-08 16:00:00,6301
,283.28,0.0,0.0,1,Clear,sky is clear,2017-06-27 04:00:00,850
,269.99,0.0,0.0,40,Clouds,scattered clouds,2013-03-26 10:00:00,4346
,290.52,2.05,0.0,90,Rain,moderate rain,2015-08-18 11:00:00,4677
,267.84,0.0,0.0,90,Mist,mist,2013-03-19 12:00:00,4755
,288.21,0.0,0.0,75,Clouds,broken clouds,2018-04-24 11:00:00,4957
,275.4,0.0,0.0,1,Clear,sky is clear,2012-10-06 06:00:00,1352
,297.5,0.0,0.0,48,Clouds,scattered clouds,2016-06-23 15:00:00,5795
,286.08,0.0,0.0,90,Thunderstorm,proximity thunderstorm,2017-10-02 03:00:00,334
,290.83,0.0,0.0,48,Rain,light rain,2016-09-21 02:00:00,239
,295.62,0.0,0.0,1,Clear,sky is clear,2015-06-30 13:00:00,4508
,288.47,0.0,0.0,44,Clouds,scattered clouds,2013-08-07 08:00:00,5990
,299.45,0.0,0.0,40,Clouds,scattered clouds,2016-05-26 16:00:00,6352
,273.02,0.0,0.0,90,Mist,mist,2017-01-03 03:00:00,483
,287.65,0.0,0.0,90,Rain,light rain,2013-09-17 19:00:00,3405
,286.33,0.0,0.0,75,Thunderstorm,thunderstorm with rain,2015-10-08 00:00:00,516
,281.09,0.0,0.0,1,Clear,sky is clear,2018-05-20 04:00:00,273
,282.63,0.25,0.0,1,Fog,fog,2014-06-08 03:00:00,414
,251.56,0.0,0.0,90,Clouds,overcast clouds,2013-01-25 02:00:00,283
,276.793,0.0,0.0,64,Clouds,broken clouds,2014-01-01 22:00:00,1175
,287.17,0.0,0.0,90,Clouds,overcast clouds,2016-06-02 03:00:00,353
,289.64,3.28,0.0,75,Mist,mist,2015-09-09 22:00:00,1495
,286.58,0.0,0.0,5,Clear,sky is clear,2017-05-11 11:00:00,4789
,283.59,4.7,0.0,90,Mist,mist,2016-04-25 08:00:00,5521
,274.08,0.0,0.0,90,Mist,mist,2016-11-23 02:00:00,257
,290.26,0.0,0.0,20,Clouds,few clouds,2016-06-30 00:00:00,620
,288.37,0.25,0.0,90,Drizzle,light intensity drizzle,2018-09-19 07:00:00,6510
,281.75,0.0,0.0,1,Clear,sky is clear,2016-11-10 09:00:00,5480
,257.49,0.0,0.0,40,Clouds,scattered clouds,2017-01-06 17:00:00,5790
,276.9,0.0,0.0,90,Mist,mist,2017-03-23 17:00:00,6286
,271.59,0.0,0.0,1,Clear,sky is clear,2015-12-20 04:00:00,309
,268.1,0.0,0.0,90,Mist,mist,2017-01-10 13:00:00,3595
,294.56,0.0,0.0,75,Rain,light rain,2017-08-06 16:00:00,3963
,262.5,0.0,0.0,75,Mist,mist,2013-02-25 02:00:00,229
,279.568,0.0,0.0,0,Clear,Sky is Clear,2016-10-07 10:00:00,4424
,285.91,0.0,0.0,1,Mist,mist,2015-08-29 06:00:00,1712
,294.0,0.0,0.0,1,Clear,sky is clear,2017-08-23 12:00:00,4994
,290.68,0.38,0.0,90,Drizzle,light intensity drizzle,2018-08-28 19:00:00,3406
,291.35,0.3,0.0,1,Mist,mist,2015-09-08 06:00:00,5538
,291.61,0.0,0.0,5,Clear,sky is clear,2017-09-02 22:00:00,2565
,275.84,0.0,0.0,1,Mist,mist,2017-02-11 23:00:00,1822
,288.01,0.0,0.0,90,Clouds,overcast clouds,2016-04-16 07:00:00,2202
,284.68,0.0,0.0,90,Rain,moderate rain,2013-05-22 20:00:00,2433
,291.65,4.29,0.0,88,Rain,heavy intensity rain,2014-06-19 07:00:00,5675
,291.02,0.0,0.0,90,Mist,mist,2018-05-31 07:00:00,6420
,272.22,0.0,0.0,90,Clouds,overcast clouds,2017-03-18 11:00:00,4945
,290.95,0.0,0.0,1,Drizzle,light intensity drizzle,2018-06-21 07:00:00,6557
,275.08,0.0,0.0,90,Snow,light snow,2017-01-20 09:00:00,4779
,293.34,0.0,0.0,40,Clouds,scattered clouds,2018-08-01 00:00:00,662
,266.91,0.0,0.0,64,Clouds,broken clouds,2013-11-12 11:00:00,4657
,279.69,0.0,0.0,1,Clear,sky is clear,2018-05-13 02:00:00,622
,283.94,0.0,0.0,40,Clouds,scattered clouds,2017-04-04 21:00:00,3119
,278.74,0.0,0.0,90,Mist,mist,2012-11-06 18:00:00,3921
,282.44,0.0,0.0,90,Drizzle,light intensity drizzle,2017-10-15 19:00:00,3412
,285.29,0.0,0.0,90,Mist,mist,2012-10-25 16:00:00,6473
,270.82,0.0,0.0,90,Snow,heavy snow,2013-02-11 07:00:00,5325
,279.15,0.0,0.0,20,Clouds,few clouds,2018-04-19 21:00:00,3451
,277.33,0.0,0.0,90,Snow,heavy snow,2013-05-02 08:00:00,5857
,264.93,0.0,0.0,1,Mist,mist,2018-02-27 07:00:00,6318
,269.11,0.25,0.0,64,Rain,light rain,2013-12-28 23:00:00,1555
,296.53,0.0,0.0,1,Mist,mist,2016-09-05 23:00:00,920
,278.66,0.0,0.0,1,Clear,sky is clear,2012-11-09 10:00:00,4719
,282.42,0.0,0.0,1,Clear,sky is clear,2017-11-28 16:00:00,6731
,269.7,0.0,0.0,40,Clouds,scattered clouds,2016-02-26 09:00:00,5154
,298.46,0.25,0.0,92,Mist,mist,2013-09-09 23:00:00,1102
,284.96,0.0,0.0,75,Clouds,broken clouds,2016-11-02 12:00:00,4390
,292.01,0.0,0.0,75,Clouds,broken clouds,2018-05-20 21:00:00,2194
,288.42,0.0,0.0,90,Thunderstorm,proximity thunderstorm with rain,2017-10-21 09:00:00,3381
,291.49,3.2,0.0,1,Mist,mist,2015-06-29 21:00:00,2251
,295.89,0.0,0.0,40,Clouds,scattered clouds,2017-08-11 20:00:00,3611
,281.33,0.0,0.0,1,Clear,sky is clear,2015-10-15 02:00:00,265
,288.35,0.0,0.0,90,Rain,moderate rain,2017-09-25 08:00:00,6299
,275.66,0.0,0.0,20,Clouds,few clouds,2013-04-01 16:00:00,6382
,262.43,0.0,0.0,1,Snow,light snow,2018-04-05 09:00:00,5389
,265.55,0.0,0.0,90,Clouds,overcast clouds,2017-12-20 10:00:00,4902
,270.45,0.0,0.0,90,Mist,mist,2013-03-19 07:00:00,6574
,293.37,0.0,0.0,1,Clear,sky is clear,2014-07-23 00:00:00,684
,277.95,0.0,0.0,90,Clouds,overcast clouds,2017-03-26 14:00:00,4659
,265.08,0.0,0.0,75,Mist,mist,2016-01-14 04:00:00,835
,287.13,0.0,0.0,75,Clouds,broken clouds,2016-07-02 01:00:00,940
,303.02,0.0,0.0,0,Clear,Sky is Clear,2016-08-17 15:00:00,5219
,286.15,0.0,0.0,90,Rain,light rain,2017-10-07 00:00:00,1802
,287.64,0.0,0.0,0,Clear,Sky is Clear,2013-06-14 07:00:00,6651
,290.01,0.0,0.0,1,Fog,fog,2018-08-18 04:00:00,523
,274.43,0.0,0.0,90,Mist,mist,2017-10-27 04:00:00,847
,276.02,0.0,0.0,90,Mist,mist,2015-12-06 07:00:00,1283
,290.08,0.0,0.0,90,Rain,moderate rain,2017-05-17 03:00:00,341
,274.68,0.0,0.0,90,Mist,mist,2016-02-23 22:00:00,3152
,288.15,0.0,0.0,0,Clear,Sky is Clear,2013-08-07 04:00:00,819
,266.93,0.0,0.0,90,Mist,mist,2016-12-26 12:00:00,3374
,278.024,0.0,0.0,80,Clouds,broken clouds,2016-10-26 21:00:00,1970
,289.08,0.0,0.0,90,Clouds,overcast clouds,2017-05-24 19:00:00,3759
,271.61,0.0,0.0,40,Clouds,scattered clouds,2018-04-04 17:00:00,5898
,299.58,0.0,0.0,0,Clear,Sky is Clear,2013-08-26 02:00:00,328
,295.42,0.0,0.0,75,Clouds,broken clouds,2017-09-19 23:00:00,997
,285.0,0.42,0.0,90,Rain,light rain,2014-03-31 20:00:00,2510
,293.23,0.25,0.0,75,Rain,light rain,2014-07-19 02:00:00,763
,289.74,0.8,0.0,90,Drizzle,light intensity drizzle,2018-09-20 12:00:00,4695
,281.96,0.0,0.0,90,Clouds,overcast clouds,2017-03-30 19:00:00,3545
,267.55,0.0,0.0,1,Clear,sky is clear,2013-04-21 05:00:00,455
,270.07,0.0,0.0,64,Mist,mist,2013-11-07 22:00:00,2006
,273.75,0.0,0.0,1,Clear,sky is clear,2015-11-07 06:00:00,1256
,271.41,0.0,0.0,90,Snow,light snow,2015-12-02 08:00:00,5886
,278.07,1.69,0.0,90,Rain,moderate rain,2016-05-13 08:00:00,5340
,292.35,0.0,0.0,1,Clear,sky is clear,2018-06-11 02:00:00,291
,296.37,0.0,0.0,40,Rain,light rain,2018-07-12 20:00:00,2727
,288.28,0.0,0.0,1,Clear,sky is clear,2015-11-08 13:00:00,3966
,283.97,0.0,0.0,90,Clouds,overcast clouds,2013-04-07 13:00:00,4254
,288.74,0.0,0.0,1,Mist,mist,2018-07-31 04:00:00,819
,270.62,0.0,0.0,75,Clouds,broken clouds,2013-02-24 17:00:00,3845
,276.35,0.0,0.0,90,Haze,haze,2017-03-24 02:00:00,313
,275.35,0.0,0.0,90,Mist,mist,2013-03-10 13:00:00,4112
,287.83,0.0,0.0,1,Clear,sky is clear,2017-09-03 08:00:00,2667
,256.01,0.0,0.0,1,Clear,sky is clear,2018-02-04 04:00:00,524
,282.9,0.0,0.0,90,Rain,moderate rain,2013-05-22 23:00:00,1125
,296.0,0.0,0.0,40,Clouds,scattered clouds,2018-09-24 14:00:00,4816
,265.17,0.0,0.0,90,Snow,heavy snow,2012-12-11 00:00:00,450
,273.75,0.0,0.0,40,Clouds,scattered clouds,2017-11-19 18:00:00,3560
,291.85,2.41,0.0,90,Rain,heavy intensity rain,2018-08-24 09:00:00,4971
,270.28,0.0,0.0,90,Clouds,overcast clouds,2014-02-20 21:00:00,1415
,294.85,0.0,0.0,90,Rain,moderate rain,2017-06-30 17:00:00,4756
,285.8,0.0,0.0,32,Clouds,scattered clouds,2016-10-02 00:00:00,1794
,286.69,0.0,0.0,75,Thunderstorm,thunderstorm with light rain,2017-09-04 18:00:00,3583
,285.51,0.0,0.0,1,Mist,mist,2016-05-30 04:00:00,293
,275.08,0.0,0.0,90,Drizzle,drizzle,2017-01-20 08:00:00,5728
,274.34,0.0,0.0,1,Clear,sky is clear,2013-04-25 09:00:00,5236
,286.15,0.0,0.0,75,Drizzle,drizzle,2017-10-06 21:00:00,2904
,262.15,0.0,0.0,1,Clear,sky is clear,2017-02-02 19:00:00,3364
,272.79,0.0,0.0,75,Mist,mist,2016-12-05 09:00:00,5018
,299.37,0.0,0.0,40,Clouds,scattered clouds,2016-07-06 12:00:00,4180
,293.89,0.0,0.0,90,Mist,mist,2013-09-18 11:00:00,4839
,278.89,0.0,0.0,90,Mist,mist,2015-11-12 06:00:00,5719
,271.44,0.0,0.0,64,Snow,snow,2013-12-04 15:00:00,4409
,279.77,0.0,0.0,75,Clouds,broken clouds,2013-05-11 00:00:00,962
,300.24,0.0,0.0,40,Clouds,scattered clouds,2013-08-18 17:00:00,4423
,260.76,0.0,0.0,1,Clear,sky is clear,2018-01-24 03:00:00,373
,278.631,0.0,0.0,0,Clear,Sky is Clear,2016-10-19 21:00:00,2314
,282.82,0.0,0.0,1,Mist,mist,2017-10-06 04:00:00,833
,290.68,0.0,0.0,20,Mist,mist,2018-05-31 06:00:00,6007
,272.61,0.0,0.0,90,Clouds,overcast clouds,2013-04-11 07:00:00,3078
,277.64,0.0,0.0,1,Clear,sky is clear,2013-04-28 07:00:00,1320
,271.14,0.0,0.0,5,Clear,sky is clear,2017-01-15 14:00:00,4529
,266.73,0.0,0.0,1,Clear,sky is clear,2013-03-29 07:00:00,5540
,273.774,0.0,0.0,12,Clouds,few clouds,2017-02-16 21:00:00,3283
,260.64,0.0,0.0,90,Clouds,overcast clouds,2018-01-02 13:00:00,4537
,273.02,0.0,0.0,40,Snow,light snow,2016-11-18 23:00:00,1356
,279.39,0.0,0.0,75,Clouds,broken clouds,2012-11-23 14:00:00,4231
,293.99,0.0,0.0,1,Clear,sky is clear,2015-08-09 22:00:00,2021
,252.83,0.0,0.0,1,Clear,sky is clear,2013-01-24 23:00:00,1172
,269.2,0.0,0.0,90,Mist,mist,2012-12-19 16:00:00,6135
,277.36,0.0,0.0,90,Mist,mist,2017-11-04 15:00:00,4890
,247.15,0.0,0.0,1,Clear,sky is clear,2018-01-06 04:00:00,383
,292.09,0.0,0.0,90,Mist,mist,2017-06-22 12:00:00,4880
,289.8,0.0,0.0,75,Haze,haze,2016-04-20 13:00:00,5281
,279.95,0.0,0.0,75,Clouds,broken clouds,2014-04-19 08:00:00,2533
,287.15,0.0,0.0,40,Mist,mist,2013-10-05 12:00:00,5739
,275.15,0.0,0.0,90,Mist,mist,2017-01-20 01:00:00,366
,293.0,0.0,0.0,1,Clear,sky is clear,2015-10-10 19:00:00,2579
,288.39,0.0,0.0,75,Clouds,broken clouds,2013-09-20 02:00:00,312
,275.01,0.0,0.0,90,Mist,mist,2017-01-21 01:00:00,657
,287.6,0.81,0.0,90,Drizzle,drizzle,2018-09-20 05:00:00,2924
,273.58,0.0,0.0,90,Snow,light snow,2016-02-28 12:00:00,4360
,294.31,0.25,0.0,90,Drizzle,drizzle,2018-09-04 01:00:00,321
,279.34,0.0,0.0,90,Clouds,overcast clouds,2014-04-24 01:00:00,297
,250.35,0.0,0.0,1,Clear,sky is clear,2018-02-02 05:00:00,2731
,254.9,0.0,0.0,1,Clear,sky is clear,2012-12-26 05:00:00,1880
,266.95,0.0,0.0,5,Clear,sky is clear,2018-04-06 17:00:00,5735
,275.76,0.0,0.0,1,Clear,sky is clear,2013-11-06 12:00:00,4935
,275.22,0.0,0.0,20,Clouds,few clouds,2012-10-29 23:00:00,920
,286.05,0.0,0.0,1,Clear,sky is clear,2015-07-03 05:00:00,961
,259.6,0.0,0.0,1,Clear,sky is clear,2017-03-14 02:00:00,244
,279.87,0.0,0.0,90,Clouds,overcast clouds,2016-03-31 01:00:00,375
,297.8,0.0,0.0,5,Clear,sky is clear,2017-06-01 20:00:00,3266
,286.29,0.0,0.0,90,Rain,light rain,2016-04-19 15:00:00,6082
,281.92,0.0,0.0,44,Clouds,scattered clouds,2014-05-15 16:00:00,6539
,273.09,0.0,0.0,1,Clear,sky is clear,2016-03-24 22:00:00,3710
,265.75,0.0,0.0,90,Mist,mist,2017-03-12 19:00:00,2335
,268.36,0.0,0.0,90,Mist,mist,2012-12-18 23:00:00,1295
,290.92,0.0,0.0,90,Rain,heavy intensity rain,2017-10-02 19:00:00,2631
,273.22,0.0,0.0,1,Rain,light rain,2016-02-07 03:00:00,407
,288.92,0.0,0.0,92,Rain,moderate rain,2016-09-22 21:00:00,2036
,271.22,0.0,0.0,90,Mist,mist,2013-04-14 07:00:00,982
,279.22,0.0,0.0,91,Rain,light rain,2012-10-19 08:00:00,5235
,290.68,0.0,0.0,40,Clouds,scattered clouds,2018-07-22 05:00:00,525
,292.9,0.0,0.0,1,Clear,sky is clear,2017-06-13 00:00:00,750
,274.89,0.0,0.0,90,Drizzle,light intensity drizzle,2012-12-16 07:00:00,964
,259.26,0.0,0.0,90,Clouds,overcast clouds,2014-02-15 09:00:00,3583
,294.04,0.0,0.0,0,Clear,Sky is Clear,2013-08-03 10:00:00,4455
,272.08,0.0,0.0,75,Clouds,broken clouds,2015-11-19 06:00:00,5946
,289.15,0.0,0.0,75,Clouds,broken clouds,2013-07-01 07:00:00,6783
,274.34,0.0,0.0,90,Clouds,overcast clouds,2013-04-17 10:00:00,4595
,283.29,0.0,0.0,90,Rain,light rain,2013-05-23 21:00:00,2660
